model,label,family,dataset,evaluation,samples,reused,d1,d2,d3,abs_rel,sq_rel,rmse,rmse_log,log10,silog
dav2_vits,DepthAnything V2-S,dav2,NYUD,affine,654,False,0.9736317979592501,0.9925592942410466,0.9974263100522651,0.05100652815954062,0.02424859386544669,0.2400338763017649,0.07743636842808259,0.02227772116535392,7.725310442879778
dav2_vits,DepthAnything V2-S,dav2,KITTI,affine,652,False,0.9441801013973584,0.9895529437783825,0.9970669175009502,0.07686244377844406,0.4300597294925175,3.4298528310859724,0.11391805879522439,0.032357112921981165,11.3609764691574
dav2_vits,DepthAnything V2-S,dav2,ETH3D,affine,454,False,0.9643950086402052,0.9899395644378692,0.9954386056478997,0.06450367944678272,0.37535295297352583,1.2083546225642199,0.09354498795681057,0.026158181726371466,9.305829776256616
dav2_vits,DepthAnything V2-S,dav2,DDAD,affine,3950,False,0.9208788392755611,0.9731271700744096,0.9878525078628857,0.08544668619499397,1.0597680914194105,6.0008883795178125,0.15505888274652238,0.03606608847711306,15.459684870074048
dav2_vits,DepthAnything V2-S,dav2,DIODE,affine,771,False,0.7560269173615157,0.8749143116770833,0.9276719743131486,0.20697370869301776,2.4240173836401318,4.395446681064384,0.2726079817754831,0.08314676720424333,26.059672636266043
yolo26n,YOLO26-N-Depth,yolo26,NYUD,affine,654,False,0.8749595951912911,0.9809469088903026,0.9960797929957218,0.11222037698270228,0.07210525451852744,0.43412228551841187,0.14481296754773118,0.04867328664955377,14.431913488572384
yolo26n,YOLO26-N-Depth,yolo26,NYUD,raw_metric,654,False,0.5871750733091037,0.8789128855005119,0.9698120985847875,0.2629865281115969,0.25866032740530803,0.716351066984371,0.2660504039299152,0.0983854453455482,16.50435896418939
yolo26n,YOLO26-N-Depth,yolo26,KITTI,affine,652,False,0.7667074847170003,0.9346074865487081,0.9783648419059707,0.15835851239551005,1.231080081383004,6.087843790520191,0.22449773698601522,0.06969241671746972,22.30968239783025
yolo26n,YOLO26-N-Depth,yolo26,KITTI,raw_metric,652,False,0.4501764201105606,0.7728082535824892,0.91164169063013,0.29664076897683844,2.396059872551004,8.554204780580127,0.3826801175270402,0.13428955963612724,30.305639096663484
yolo26n,YOLO26-N-Depth,yolo26,ETH3D,affine,454,False,0.8762433427096309,0.9727418634246404,0.9895218354168779,0.12133561527036901,0.5089213703952374,1.7323399686795409,0.15996466023959457,0.05110949808778269,15.88041743306604
yolo26n,YOLO26-N-Depth,yolo26,ETH3D,raw_metric,454,False,0.35181998603931713,0.6126779365967098,0.7964904932108646,0.5401377959088589,2.2272072843041113,3.1723970453966506,0.4394929186129735,0.17577987617682345,16.78919006350907
yolo26n,YOLO26-N-Depth,yolo26,DDAD,affine,3950,False,0.7925896321021701,0.9344771428920269,0.9753477311763012,0.16831204776053807,2.43701084387197,9.150538830641912,0.23128868234329644,0.06848326700507797,23.04594422175693
yolo26n,YOLO26-N-Depth,yolo26,DDAD,raw_metric,3950,False,0.1267052428957566,0.41122887400385755,0.7135101146350344,0.39346636667934237,6.047771055009637,16.062249379581353,0.5971836108755268,0.23255099247908134,26.784312443733448
yolo26n,YOLO26-N-Depth,yolo26,DIODE,affine,771,False,0.7180655948973842,0.8711008715479623,0.9345678721842228,0.22060664217520531,1.9897509914327782,4.455756624095856,0.29512243082832473,0.09204547020035282,28.525569938698013
yolo26n,YOLO26-N-Depth,yolo26,DIODE,raw_metric,771,False,0.3315779139122087,0.5995114237341274,0.7823745770082937,0.5546806547765526,4.867812221559095,6.086376044427955,0.5120976126287463,0.19023416178345134,30.37473216941001
yolo26s,YOLO26-S-Depth,yolo26,NYUD,affine,654,False,0.887284470072674,0.9844134698821615,0.9967859723863933,0.10810670192963813,0.06764131797771619,0.42494404654845636,0.13906760676132068,0.046818544174848035,13.864871463671694
yolo26s,YOLO26-S-Depth,yolo26,NYUD,raw_metric,654,False,0.5548210111011753,0.8846435370894215,0.981888867990719,0.2066568835991402,0.18636390996599708,0.7448274985054149,0.2628225351160459,0.09976086561697325,15.698771013883311
yolo26s,YOLO26-S-Depth,yolo26,KITTI,affine,652,False,0.7887499143505434,0.941898282015121,0.981846802485762,0.1505902791127454,1.1606479554651346,5.843411421309511,0.21274613531100142,0.0653738526811141,21.160135883457997
yolo26s,YOLO26-S-Depth,yolo26,KITTI,raw_metric,652,False,0.5076435874796842,0.7637611831464413,0.882916029071643,0.2552921305098718,2.5130867430676815,9.30924361985288,0.39815375302987105,0.1346441152351605,29.745474376745833
yolo26s,YOLO26-S-Depth,yolo26,ETH3D,affine,454,False,0.8777897078681773,0.973085728311282,0.989951191538635,0.11784779072261055,0.39708770714852787,1.5810840881945685,0.15656924234018918,0.05032535433296913,15.54922009891064
yolo26s,YOLO26-S-Depth,yolo26,ETH3D,raw_metric,454,False,0.38236059020602564,0.6782897086461794,0.8654852017942593,0.380662526257819,1.2168357910389145,2.7144952717286537,0.3970131013739777,0.15737610399336574,16.95759733176324
yolo26s,YOLO26-S-Depth,yolo26,DDAD,affine,3950,False,0.7768484186386518,0.9320252125748744,0.9750537210303285,0.1737276360418438,2.5109755943580723,9.404573377083072,0.236778737780241,0.07138311986353063,23.607616644384134
yolo26s,YOLO26-S-Depth,yolo26,DDAD,raw_metric,3950,False,0.0456236147281615,0.19660961848499103,0.47699252494031835,0.48853297175314436,8.240091052016162,18.400733257479157,0.774718803833061,0.31187810925098763,28.7243571515803
yolo26s,YOLO26-S-Depth,yolo26,DIODE,affine,771,False,0.7182388266865812,0.8750905592868408,0.9377516896153428,0.21766978784653068,1.8723342358000463,4.361776130599824,0.292357647357843,0.09106154668143629,28.307814384440054
yolo26s,YOLO26-S-Depth,yolo26,DIODE,raw_metric,771,False,0.41168954528836194,0.6632110928318647,0.8119248625964023,0.41098296299058173,3.199209451524664,5.376407721837128,0.4688307522609427,0.1707465139251946,29.977385541755787
yolo26m,YOLO26-M-Depth,yolo26,NYUD,affine,654,False,0.9305461631671087,0.9876185899492922,0.997210055988795,0.0868049872626126,0.04951841155759751,0.3596933173870752,0.11656259219287586,0.03775536020478386,11.623658479939095
yolo26m,YOLO26-M-Depth,yolo26,NYUD,raw_metric,654,False,0.7408591823954784,0.9523432222397911,0.9927892861425172,0.16867299171336156,0.12232495658559955,0.5679045365671788,0.19700838602910897,0.07148423133598697,13.650010685763712
yolo26m,YOLO26-M-Depth,yolo26,KITTI,affine,652,False,0.8379217374743037,0.9604569228281056,0.988514661112299,0.13455622716207227,1.140220743112779,5.813030992690914,0.1858936968444879,0.056753259128823876,18.52888304354134
yolo26m,YOLO26-M-Depth,yolo26,KITTI,raw_metric,652,False,0.5228632111078779,0.8614827777019578,0.9565058900289762,0.2532067820049849,1.7297109606812937,7.304772662989029,0.3144072562278179,0.10997841123168664,26.57758266476843
yolo26m,YOLO26-M-Depth,yolo26,ETH3D,affine,454,False,0.9099073373687478,0.9777354650339714,0.9908790803262106,0.10169393443339424,0.4439099492663048,1.6287854174617111,0.13820002373987206,0.042964228443906974,13.718656461118487
yolo26m,YOLO26-M-Depth,yolo26,ETH3D,raw_metric,454,False,0.4094572002874345,0.7201441127901835,0.8825784168213308,0.4164548638456405,1.3325198731478676,2.481635361103663,0.3670343078265733,0.14631766267709043,15.082464174089555
yolo26m,YOLO26-M-Depth,yolo26,DDAD,affine,3950,False,0.829027015657298,0.9469492480686905,0.9813178766574132,0.15021754453681632,2.035399380924768,8.628567647935023,0.21331760962223653,0.061635308544726444,21.25334388638039
yolo26m,YOLO26-M-Depth,yolo26,DDAD,raw_metric,3950,False,0.10617505121577495,0.3976386243508959,0.7251181851662982,0.39700068952800954,6.00519383129562,15.974853723194315,0.5958496977735163,0.23394577713509848,25.57642787405022
yolo26m,YOLO26-M-Depth,yolo26,DIODE,affine,771,False,0.7555353054643072,0.8880987019366098,0.9416481272321378,0.20114430684101714,1.7867346040461445,4.182183145519594,0.2745727379303213,0.08358188302905184,26.576997329712437
yolo26m,YOLO26-M-Depth,yolo26,DIODE,raw_metric,771,False,0.4397069053135672,0.7165745952659925,0.8555494948193784,0.4055524782895711,3.157829258375048,5.023392872681229,0.43108309257333416,0.1556211912211719,27.926179082732634
yolo26l,YOLO26-L-Depth,yolo26,NYUD,affine,654,False,0.9390479463256881,0.9902196510921564,0.9976484789009469,0.08177473326313306,0.043162426068948746,0.34377723110999814,0.11083876391616612,0.035650985212624754,11.055602454554567
yolo26l,YOLO26-L-Depth,yolo26,NYUD,raw_metric,654,False,0.7113162927710601,0.9571676999690192,0.9918608591224779,0.1778473471532859,0.1300088576112315,0.577375443745743,0.20229865219776402,0.07448490133049468,13.100024509434625
yolo26l,YOLO26-L-Depth,yolo26,KITTI,affine,652,False,0.8633916387899737,0.9668534592860811,0.9909171225930133,0.11774078088974636,0.8864158151488016,5.213911406146012,0.169418519090665,0.05054082409401915,16.886475164270614
yolo26l,YOLO26-L-Depth,yolo26,KITTI,raw_metric,652,False,0.6078919941105785,0.8992165635458809,0.9668844643855067,0.2191384546378552,1.4247888973980753,6.688467533071186,0.276668493591823,0.09543616221957224,23.138983498008507
yolo26l,YOLO26-L-Depth,yolo26,ETH3D,affine,454,False,0.9147852804903064,0.9780441856278631,0.9904567376859698,0.09894874790660647,0.5069753614168678,1.78698272493777,0.13606169845904056,0.04126286346388987,13.509976501538636
yolo26l,YOLO26-L-Depth,yolo26,ETH3D,raw_metric,454,False,0.4689503396605911,0.766546738965551,0.9083439153072266,0.36256208104437604,1.0604839028453024,2.2743679965554158,0.3337644836902946,0.13219217211692882,14.798636916560595
yolo26l,YOLO26-L-Depth,yolo26,DDAD,affine,3950,False,0.8331488977870891,0.9487432892754977,0.9813979907102754,0.15011696263930271,2.0129905187072397,8.5252379696791,0.2103896885838939,0.06133794490653672,20.958492078208767
yolo26l,YOLO26-L-Depth,yolo26,DDAD,raw_metric,3950,False,0.05906352352829921,0.28094055767147436,0.6353958515113789,0.4361169222761703,6.676286761133505,16.606970293800284,0.6533050885030813,0.26270918317592634,24.63527430816291
yolo26l,YOLO26-L-Depth,yolo26,DIODE,affine,771,False,0.767584845894693,0.891144643140829,0.9427801636152495,0.19214945610481823,1.749945378514541,4.113285517483516,0.26605252343319846,0.07969776334039758,25.77093373927111
yolo26l,YOLO26-L-Depth,yolo26,DIODE,raw_metric,771,False,0.4792796037018471,0.7346180494801168,0.852535243331397,0.3504062536560764,2.5305587359831447,4.873530159059204,0.41685616065476916,0.1501986410018109,27.195088260041874
yolo26x,YOLO26-X-Depth,yolo26,NYUD,affine,654,False,0.9433946808856023,0.9900662141839468,0.9970858387594,0.07880139035960061,0.044048190916183796,0.33941157705732894,0.10747879869030012,0.034357141442265975,10.723621267165607
yolo26x,YOLO26-X-Depth,yolo26,NYUD,raw_metric,654,False,0.6869652399527781,0.9468691571254634,0.9912818874010034,0.17703042954851464,0.13564871748535118,0.6106753352984454,0.21138419413901063,0.07893386241592587,12.684258798924926
yolo26x,YOLO26-X-Depth,yolo26,KITTI,affine,652,False,0.8469212292689927,0.9606715157719149,0.9882074420385739,0.12409204507880607,0.9971394670145983,5.567310774834258,0.17930982631440537,0.05381685476010699,17.85927913928193
yolo26x,YOLO26-X-Depth,yolo26,KITTI,raw_metric,652,False,0.4852176981195758,0.8711980045579708,0.9702138901261924,0.26887055519962555,1.6524700941212749,6.843780370959382,0.3081784684333369,0.11105016293405784,25.489480769835264
yolo26x,YOLO26-X-Depth,yolo26,ETH3D,affine,454,False,0.9324878335873309,0.9820533795184118,0.9917195377828947,0.08918097890366283,0.4480894457281191,1.5380128519794607,0.12439214664737393,0.03711040963077193,12.353919503616025
yolo26x,YOLO26-X-Depth,yolo26,ETH3D,raw_metric,454,False,0.4575596058390638,0.7257150672901329,0.8986537202378078,0.3940854532697991,1.2274958464221943,2.3049772946577725,0.3427463565745357,0.13701434678302982,13.685215078724902
yolo26x,YOLO26-X-Depth,yolo26,DDAD,affine,3950,False,0.8399299158520467,0.950471329111465,0.9820521232840085,0.14257828474296705,1.9670166154332638,8.558127622492961,0.20802373658473192,0.05866775177696265,20.723585615081884
yolo26x,YOLO26-X-Depth,yolo26,DDAD,raw_metric,3950,False,0.12435673383867182,0.4599895735591303,0.7755643375889958,0.37575392098745725,5.4861952032039705,15.25309226987282,0.5568283468977582,0.21754123001349743,24.556410289633146
yolo26x,YOLO26-X-Depth,yolo26,DIODE,affine,771,False,0.7659228724716918,0.8934534589789344,0.9437717140321877,0.19254829424181538,1.9080221770736088,4.18642058262003,0.2638601183688778,0.07894537880304829,25.576152477694635
yolo26x,YOLO26-X-Depth,yolo26,DIODE,raw_metric,771,False,0.4549288456249796,0.7405729581995755,0.8654899426338385,0.3869740459710554,2.924691420094818,4.895315056077481,0.4143492093660027,0.1496507411220345,26.78928847652525
zipdepth,ZipDepth Base,zipdepth,NYUD,affine,654,False,0.9351262402359714,0.9879802386168891,0.9969593962508577,0.08237660551427411,0.04443646082124703,0.3404630745122881,0.11287660289390536,0.0358953813531566,11.250408616903028
zipdepth,ZipDepth Base,zipdepth,KITTI,affine,652,False,0.8811205442238496,0.9812998029811512,0.9957037985833327,0.11372103615231692,0.6231287636766764,4.098503925493104,0.152206047356249,0.04810054716214964,15.135108331096442
zipdepth,ZipDepth Base,zipdepth,ETH3D,affine,454,False,0.9269528014053354,0.9815139091315745,0.9919577254695842,0.10056204692081522,0.8240831415318263,1.6769284213387945,0.1309288459623686,0.03985277549928196,13.003443948627083
zipdepth,ZipDepth Base,zipdepth,DDAD,affine,3950,False,0.8920031558070182,0.9667939297569069,0.9870342331235268,0.10219834350702124,1.2173715946489205,6.476587760524908,0.16823604800646239,0.04285577729002124,16.762884979181475
